tick,node_id,x,y,energy,role,cluster_id
0,1,10.0,10.0,500,leader,1
0,2,12.0,11.0,300,member,1
0,3,8.0,9.0,200,member,1
0,4,10.0,15.0,100,member,1
0,5,14.0,8.0,400,member,1
0,6,50.0,50.0,600,leader,6
0,7,48.0,52.0,250,member,6
0,8,53.0,49.0,150,member,6
0,9,45.0,45.0,300,member,6
0,10,100.0,100.0,200,isolated,10
1,1,10.0,10.0,497,leader,1
1,2,12.0,11.0,299,member,1
1,3,8.0,9.0,199,member,1
1,4,10.0,15.0,99,member,1
1,5,14.0,8.0,399,member,1
1,6,50.0,50.0,597,leader,6
1,7,48.0,52.0,249,member,6
1,8,53.0,49.0,149,member,6
1,9,45.0,45.0,299,member,6
1,10,100.0,100.0,199,isolated,10
2,1,10.0,10.0,494,leader,1
2,2,12.0,11.0,298,member,1
2,3,8.0,9.0,198,member,1
2,4,10.0,15.0,98,member,1
2,5,14.0,8.0,398,member,1
2,6,50.0,50.0,594,leader,6
2,7,48.0,52.0,248,member,6
2,8,53.0,49.0,148,member,6
2,9,45.0,45.0,298,member,6
2,10,100.0,100.0,198,isolated,10
3,1,10.0,10.0,491,leader,1
3,2,12.0,11.0,297,member,1
3,3,8.0,9.0,197,member,1
3,4,10.0,15.0,97,member,1
3,5,14.0,8.0,397,member,1
3,6,50.0,50.0,591,leader,6
3,7,48.0,52.0,247,member,6
3,8,53.0,49.0,147,member,6
3,9,45.0,45.0,297,member,6
3,10,100.0,100.0,197,isolated,10
4,1,10.0,10.0,488,leader,1
4,2,12.0,11.0,296,member,1
4,3,8.0,9.0,196,member,1
4,4,10.0,15.0,96,member,1
4,5,14.0,8.0,396,member,1
4,6,50.0,50.0,588,leader,6
4,7,48.0,52.0,246,member,6
4,8,53.0,49.0,146,member,6
4,9,45.0,45.0,296,member,6
4,10,100.0,100.0,196,isolated,10
5,1,10.0,10.0,485,leader,1
5,2,12.0,11.0,295,member,1
5,3,8.0,9.0,195,member,1
5,4,10.0,15.0,95,member,1
5,5,14.0,8.0,395,member,1
5,6,50.0,50.0,585,leader,6
5,7,48.0,52.0,245,member,6
5,8,53.0,49.0,145,member,6
5,9,45.0,45.0,295,member,6
5,10,100.0,100.0,195,isolated,10
6,1,10.0,10.0,482,leader,1
6,2,12.0,11.0,294,member,1
6,3,8.0,9.0,194,member,1
6,4,10.0,15.0,94,member,1
6,5,14.0,8.0,394,member,1
6,6,50.0,50.0,582,leader,6
6,7,48.0,52.0,244,member,6
6,8,53.0,49.0,144,member,6
6,9,45.0,45.0,294,member,6
6,10,100.0,100.0,194,isolated,10
7,1,10.0,10.0,479,leader,1
7,2,12.0,11.0,293,member,1
7,3,8.0,9.0,193,member,1
7,4,10.0,15.0,93,member,1
7,5,14.0,8.0,393,member,1
7,6,50.0,50.0,579,leader,6
7,7,48.0,52.0,243,member,6
7,8,53.0,49.0,143,member,6
7,9,45.0,45.0,293,member,6
7,10,100.0,100.0,193,isolated,10
8,1,10.0,10.0,476,leader,1
8,2,12.0,11.0,292,member,1
8,3,8.0,9.0,192,member,1
8,4,10.0,15.0,92,member,1
8,5,14.0,8.0,392,member,1
8,6,50.0,50.0,576,leader,6
8,7,48.0,52.0,242,member,6
8,8,53.0,49.0,142,member,6
8,9,45.0,45.0,292,member,6
8,10,100.0,100.0,192,isolated,10
9,1,10.0,10.0,473,leader,1
9,2,12.0,11.0,291,member,1
9,3,8.0,9.0,191,member,1
9,4,10.0,15.0,91,member,1
9,5,14.0,8.0,391,member,1
9,6,50.0,50.0,573,leader,6
9,7,48.0,52.0,241,member,6
9,8,53.0,49.0,141,member,6
9,9,45.0,45.0,291,member,6
9,10,100.0,100.0,191,isolated,10
10,1,10.0,10.0,470,leader,1
10,2,12.0,11.0,290,member,1
10,3,8.0,9.0,190,member,1
10,4,10.0,15.0,90,member,1
10,5,14.0,8.0,390,member,1
10,6,50.0,50.0,570,leader,6
10,7,48.0,52.0,240,member,6
10,8,53.0,49.0,140,member,6
10,9,45.0,45.0,290,member,6
10,10,100.0,100.0,190,isolated,10
11,1,10.0,10.0,467,leader,1
11,2,12.0,11.0,289,member,1
11,3,8.0,9.0,189,member,1
11,4,10.0,15.0,89,member,1
11,5,14.0,8.0,389,member,1
11,6,50.0,50.0,567,leader,6
11,7,48.0,52.0,239,member,6
11,8,53.0,49.0,139,member,6
11,9,45.0,45.0,289,member,6
11,10,100.0,100.0,189,isolated,10
12,1,10.0,10.0,464,leader,1
12,2,12.0,11.0,288,member,1
12,3,8.0,9.0,188,member,1
12,4,10.0,15.0,88,member,1
12,5,14.0,8.0,388,member,1
12,6,50.0,50.0,564,leader,6
12,7,48.0,52.0,238,member,6
12,8,53.0,49.0,138,member,6
12,9,45.0,45.0,288,member,6
12,10,100.0,100.0,188,isolated,10
13,1,10.0,10.0,461,leader,1
13,2,12.0,11.0,287,member,1
13,3,8.0,9.0,187,member,1
13,4,10.0,15.0,87,member,1
13,5,14.0,8.0,387,member,1
13,6,50.0,50.0,561,leader,6
13,7,48.0,52.0,237,member,6
13,8,53.0,49.0,137,member,6
13,9,45.0,45.0,287,member,6
13,10,100.0,100.0,187,isolated,10
14,1,10.0,10.0,458,leader,1
14,2,12.0,11.0,286,member,1
14,3,8.0,9.0,186,member,1
14,4,10.0,15.0,86,member,1
14,5,14.0,8.0,386,member,1
14,6,50.0,50.0,558,leader,6
14,7,48.0,52.0,236,member,6
14,8,53.0,49.0,136,member,6
14,9,45.0,45.0,286,member,6
14,10,100.0,100.0,186,isolated,10
15,1,10.0,10.0,455,leader,1
15,2,12.0,11.0,285,member,1
15,3,8.0,9.0,185,member,1
15,4,10.0,15.0,85,member,1
15,5,14.0,8.0,385,member,1
15,6,50.0,50.0,555,leader,6
15,7,48.0,52.0,235,member,6
