tick,node_id,x,y,energy,role,cluster_id
0,1,2.0,3.0,345,leader,1
0,2,12.0,45.0,234,member,9
0,3,35.0,45.0,533,leader,3
0,4,1.0,38.0,234,member,9
0,5,4.0,5.0,50,member,1
0,6,50.0,3.0,98,isolated,6
0,7,22.0,2.0,144,isolated,7
0,8,34.0,33.0,233,member,3
0,9,11.0,39.0,235,leader,9
1,1,2.0,3.0,342,leader,1
1,2,12.0,45.0,233,member,9
1,3,35.0,45.0,530,leader,3
1,4,1.0,38.0,233,member,9
1,5,4.0,5.0,49,member,1
1,6,50.0,3.0,97,isolated,6
1,7,22.0,2.0,143,isolated,7
1,8,34.0,33.0,232,member,3
1,9,11.0,39.0,232,leader,9
2,1,2.0,3.0,339,leader,1
2,2,12.0,45.0,232,member,9
2,3,35.0,45.0,527,leader,3
2,4,1.0,38.0,232,member,9
2,5,4.0,5.0,48,member,1
2,6,50.0,3.0,96,isolated,6
2,7,22.0,2.0,142,isolated,7
2,8,34.0,33.0,231,member,3
2,9,11.0,39.0,229,leader,9
3,1,2.0,3.0,336,leader,1
3,2,12.0,45.0,231,member,9
3,3,35.0,45.0,524,leader,3
3,4,1.0,38.0,231,member,9
3,5,4.0,5.0,47,member,1
3,6,50.0,3.0,95,isolated,6
3,7,22.0,2.0,141,isolated,7
3,8,34.0,33.0,230,member,3
3,9,11.0,39.0,226,leader,9
4,1,2.0,3.0,333,leader,1
4,2,12.0,45.0,230,member,9
4,3,35.0,45.0,521,leader,3
4,4,1.0,38.0,230,member,9
4,5,4.0,5.0,46,member,1
4,6,50.0,3.0,94,isolated,6
4,7,22.0,2.0,140,isolated,7
4,8,34.0,33.0,229,member,3
4,9,11.0,39.0,223,leader,9
5,1,2.0,3.0,330,leader,1
5,2,12.0,45.0,229,member,9
5,3,35.0,45.0,518,leader,3
5,4,1.0,38.0,229,member,9
5,5,4.0,5.0,45,member,1
5,6,50.0,3.0,93,isolated,6
5,7,22.0,2.0,139,isolated,7
5,8,34.0,33.0,228,member,3
5,9,11.0,39.0,220,leader,9
6,1,2.0,3.0,327,leader,1
6,2,12.0,45.0,228,member,9
6,3,35.0,45.0,515,leader,3
6,4,1.0,38.0,228,member,9
6,5,4.0,5.0,44,member,1
6,6,50.0,3.0,92,isolated,6
6,7,22.0,2.0,138,isolated,7
6,8,34.0,33.0,227,member,3
6,9,11.0,39.0,217,leader,9
7,1,2.0,3.0,324,leader,1
7,2,12.0,45.0,227,member,9
7,3,35.0,45.0,512,leader,3
7,4,1.0,38.0,227,member,9
7,5,4.0,5.0,43,member,1
7,6,50.0,3.0,91,isolated,6
7,7,22.0,2.0,137,isolated,7
7,8,34.0,33.0,226,member,3
7,9,11.0,39.0,214,leader,9
8,1,2.0,3.0,321,leader,1
8,2,12.0,45.0,226,member,9
8,3,35.0,45.0,509,leader,3
8,4,1.0,38.0,226,member,9
8,5,4.0,5.0,42,member,1
8,6,50.0,3.0,90,isolated,6
8,7,22.0,2.0,136,isolated,7
8,8,34.0,33.0,225,member,3
8,9,11.0,39.0,211,leader,9
9,1,2.0,3.0,318,leader,1
9,2,12.0,45.0,225,member,9
9,3,35.0,45.0,506,leader,3
9,4,1.0,38.0,225,member,9
9,5,4.0,5.0,41,member,1
9,6,50.0,3.0,89,isolated,6
9,7,22.0,2.0,135,isolated,7
9,8,34.0,33.0,224,member,3
9,9,11.0,39.0,208,leader,9
10,1,2.0,3.0,315,leader,1
10,2,12.0,45.0,224,member,9
10,3,35.0,45.0,503,leader,3
10,4,1.0,38.0,224,member,9
10,5,4.0,5.0,40,member,1
10,6,50.0,3.0,88,isolated,6
10,7,22.0,2.0,134,isolated,7
10,8,34.0,33.0,223,member,3
10,9,11.0,39.0,205,leader,9
11,1,2.0,3.0,312,leader,1
11,2,12.0,45.0,223,member,9
11,3,35.0,45.0,500,leader,3
11,4,1.0,38.0,223,member,9
11,5,4.0,5.0,39,member,1
11,6,50.0,3.0,87,isolated,6
11,7,22.0,2.0,133,isolated,7
11,8,34.0,33.0,222,member,3
11,9,11.0,39.0,202,leader,9
12,1,2.0,3.0,309,leader,1
12,2,12.0,45.0,222,member,9
12,3,35.0,45.0,497,leader,3
12,4,1.0,38.0,222,member,9
12,5,4.0,5.0,38,member,1
12,6,50.0,3.0,86,isolated,6
12,7,22.0,2.0,132,isolated,7
12,8,34.0,33.0,221,member,3
12,9,11.0,39.0,199,leader,9
13,1,2.0,3.0,306,leader,1
13,2,12.0,45.0,221,member,9
13,3,35.0,45.0,494,leader,3
13,4,1.0,38.0,221,member,9
13,5,4.0,5.0,37,member,1
13,6,50.0,3.0,85,isolated,6
13,7,22.0,2.0,131,isolated,7
13,8,34.0,33.0,220,member,3
13,9,11.0,39.0,196,leader,9
14,1,2.0,3.0,303,leader,1
14,2,12.0,45.0,220,member,9
14,3,35.0,45.0,491,leader,3
14,4,1.0,38.0,220,member,9
14,5,4.0,5.0,36,member,1
14,6,50.0,3.0,84,isolated,6
14,7,22.0,2.0,130,isolated,7
14,8,34.0,33.0,219,member,3
14,9,11.0,39.0,193,leader,9
15,1,2.0,3.0,300,leader,1
15,2,12.0,45.0,219,member,9
15,3,35.0,45.0,488,leader,3
15,4,1.0,38.0,219,member,9
15,5,4.0,5.0,35,member,1
15,6,50.0,3.0,83,isolated,6
15,7,22.0,2.0,129,isolated,7
15,8,34.0,33.0,218,member,3
15,9,11.0,39.0,190,leader,9
16,1,2.0,3.0,297,leader,1
16,2,12.0,45.0,218,member,9
16,3,35.0,45.0,485,leader,3
16,4,1.0,38.0,218,member,9
16,5,4.0,5.0,34,member,1
16,6,50.0,3.0,82,isolated,6
16,7,22.0,2.0,128,isolated,7
16,8,34.0,33.0,217,member,3
16,9,11.0,39.0,187,leader,9
17,1,2.0,3.0,294,leader,1
17,2,12.0,45.0,217,member,9
17,3,35.0,45.0,482,leader,3
17,4,1.0,38.0,217,member,9
17,5,4.0,5.0,33,member,1
17,6,50.0,3.0,81,isolated,6
17,7,22.0,2.0,127,isolated,7
17,8,34.0,33.0,216,member,3
17,9,11.0,39.0,184,leader,9
18,1,2.0,3.0,291,leader,1
18,2,12.0,45.0,216,member,9
18,3,35.0,45.0,479,leader,3
18,4,1.0,38.0,216,member,9
18,5,4.0,5.0,32,member,1
18,6,50.0,3.0,80,isolated,6
18,7,22.0,2.0,126,isolated,7
18,8,34.0,33.0,215,member,3
18,9,11.0,39.0,181,leader,9
19,1,2.0,3.0,288,leader,1
19,2,12.0,45.0,215,member,9
19,3,35.0,45.0,476,leader,3
19,4,1.0,38.0,215,member,9
19,5,4.0,5.0,31,member,1
19,6,50.0,3.0,79,isolated,6
19,7,22.0,2.0,125,isolated,7
19,8,34.0,33.0,214,member,3
19,9,11.0,39.0,178,leader,9
20,1,2.0,3.0,285,leader,1
20,2,12.0,45.0,214,member,9
20,3,35.0,45.0,473,leader,3
20,4,1.0,38.0,214,member,9
20,5,4.0,5.0,30,member,1
20,6,50.0,3.0,78,isolated,6
20,7,22.0,2.0,124,isolated,7
20,8,34.0,33.0,213,member,3
20,9,11.0,39.0,175,leader,9
21,1,2.0,3.0,282,leader,1
21,2,12.0,45.0,213,member,9
21,3,35.0,45.0,470,leader,3
21,4,1.0,38.0,213,member,9
21,5,4.0,5.0,29,member,1
21,6,50.0,3.0,77,isolated,6
21,7,22.0,2.0,123,isolated,7
21,8,34.0,33.0,212,member,3
21,9,11.0,39.0,172,leader,9
22,1,2.0,3.0,279,leader,1
22,2,12.0,45.0,212,member,9
22,3,35.0,45.0,467,leader,3
22,4,1.0,38.0,212,member,9
22,5,4.0,5.0,28,member,1
22,6,50.0,3.0,76,isolated,6
22,7,22.0,2.0,122,isolated,7
22,8,34.0,33.0,211,member,3
22,9,11.0,39.0,169,leader,9
23,1,2.0,3.0,276,leader,1
23,2,12.0,45.0,211,member,9
23,3,35.0,45.0,464,leader,3
23,4,1.0,38.0,211,member,9
23,5,4.0,5.0,27,member,1
23,6,50.0,3.0,75,isolated,6
23,7,22.0,2.0,121,isolated,7
23,8,34.0,33.0,210,member,3
23,9,11.0,39.0,166,leader,9
24,1,2.0,3.0,273,leader,1
24,2,12.0,45.0,210,member,9
24,3,35.0,45.0,461,leader,3
24,4,1.0,38.0,210,member,9
24,5,4.0,5.0,26,member,1
24,6,50.0,3.0,74,isolated,6
24,7,22.0,2.0,120,isolated,7
24,8,34.0,33.0,209,member,3
24,9,11.0,39.0,163,leader,9
25,1,2.0,3.0,270,leader,1
25,2,12.0,45.0,209,member,9
25,3,35.0,45.0,458,leader,3
25,4,1.0,38.0,209,member,9
25,5,4.0,5.0,25,member,1
25,6,50.0,3.0,73,isolated,6
25,7,22.0,2.0,119,isolated,7
25,8,34.0,33.0,208,member,3
25,9,11.0,39.0,160,leader,9
26,1,2.0,3.0,267,leader,1
26,2,12.0,45.0,208,member,9
26,3,35.0,45.0,455,leader,3
26,4,1.0,38.0,208,member,9
26,5,4.0,5.0,24,member,1
26,6,50.0,3.0,72,isolated,6
26,7,22.0,2.0,118,isolated,7
26,8,34.0,33.0,207,member,3
26,9,11.0,39.0,157,leader,9
27,1,2.0,3.0,264,leader,1
27,2,12.0,45.0,207,member,9
27,3,35.0,45.0,452,leader,3
27,4,1.0,38.0,207,member,9
27,5,4.0,5.0,23,member,1
27,6,50.0,3.0,71,isolated,6
27,7,22.0,2.0,117,isolated,7
27,8,34.0,33.0,206,member,3
27,9,11.0,39.0,154,leader,9
28,1,2.0,3.0,261,leader,1
28,2,12.0,45.0,206,member,9
28,3,35.0,45.0,449,leader,3
28,4,1.0,38.0,206,member,9
28,5,4.0,5.0,22,member,1
28,6,50.0,3.0,70,isolated,6
28,7,22.0,2.0,116,isolated,7
28,8,34.0,33.0,205,member,3
28,9,11.0,39.0,151,leader,9
29,1,2.0,3.0,258,leader,1
29,2,12.0,45.0,205,member,9
29,3,35.0,45.0,446,leader,3
29,4,1.0,38.0,205,member,9
29,5,4.0,5.0,21,member,1
29,6,50.0,3.0,69,isolated,6
29,7,22.0,2.0,115,isolated,7
29,8,34.0,33.0,204,member,3
29,9,11.0,39.0,148,leader,9
30,1,2.0,3.0,255,leader,1
30,2,12.0,45.0,204,member,9
30,3,35.0,45.0,443,leader,3
30,4,1.0,38.0,204,member,9
30,5,4.0,5.0,20,member,1
30,6,50.0,3.0,68,isolated,6
30,7,22.0,2.0,114,isolated,7
30,8,34.0,33.0,203,member,3
30,9,11.0,39.0,145,leader,9
31,1,2.0,3.0,252,leader,1
31,2,12.0,45.0,203,member,9
31,3,35.0,45.0,440,leader,3
